Rower_1,Rower_2,Rower_3,Rower_4,Rower_5,Rower_6,Rower_7,Rower_8
299.20964735384933,276.43095311213506,295.6134247036779,304.7751637998879,299.43475902113727,283.99741403280854,287.42757663611155,262.3218573973812
296.6652079470128,280.4945803401776,292.43799573038456,293.85769599647244,300.90718542555646,274.71429922816327,294.3732930076534,264.9105696104963
294.8856521921484,279.1578485031752,304.0800977890082,290.13669243356213,302.1670379263162,271.9303526718332,292.02517286513125,270.27298328731405
288.6775979686758,279.93055239222974,297.46824676209195,294.33718422430644,294.0390738093509,275.6858422436217,299.0108812194631,261.0902974922008
290.19020771744664,275.5238439154467,301.3381779585097,290.92239224824345,290.8059931990595,272.8686892350152,291.13227972532974,263.03397001542567
305.91232852017197,276.9900785604492,307.0903980325081,303.49470021842257,286.88285355690647,260.67670372072627,294.90289548310955,266.32314289815804
307.8077494118107,282.4452130843906,308.9437668476962,290.29853540021804,285.2806760766696,270.3605455602383,298.000390791255,276.7465061611831
293.41906997942317,286.4151091318952,308.80295017755657,280.5947645542259,294.7344277096696,265.42386466490626,299.2019342487153,264.9341830818254
301.1784280186544,279.1322070180762,311.16184921011893,298.79220536950737,305.87785821705495,272.31180340015663,299.4106052717981,260.0955490934756
289.09600800049157,282.779853125437,302.7909996312466,303.8076695579499,281.59327370347205,271.82293591939253,294.3408934612984,260.69899183830967
296.377333568374,275.2294988894542,311.3238441198772,290.99898637557436,289.0037547189241,267.82304022113897,294.8849145187988,269.79849949464693
295.128445798966,282.8169481578163,305.54141381056326,285.5353080164872,285.64282179560416,272.19189511709027,298.7582348320292,272.541337660002
283.01465277793613,278.96077097740243,311.19489019313426,287.96413265195207,293.21725628125495,269.8332046637195,284.5929703507717,260.00570900927966
289.4233362553029,282.04552614187025,308.3029644625804,293.98793921410595,279.6311942735621,283.1799575961206,278.8348380475631,263.07827336941034
287.7297704531155,275.04920060981414,310.17430876889813,298.66420661311656,272.1010607225982,262.42811035539864,284.74495224170346,261.891700523336
290.5717672307799,284.200044849662,312.55974076316187,290.95809098100625,273.35399292764777,285.3345019694703,288.44064483462245,268.2979281748621
285.08798350119577,271.13668562677907,303.30909822933125,272.8435624915782,270.3160755875304,266.3406737260019,289.4065553524582,251.00083640216826
283.0458406435784,278.8554461220056,299.8704662103332,289.79657958243246,273.8396718609465,280.3022455193115,278.7692966563594,263.96461827506874
284.66523247748245,275.7064505547861,296.6636441560522,276.4208692461118,271.46271795350077,267.1875383249705,276.8246460047803,259.8389579865779
282.72802712417104,277.57935313821196,309.3640723945211,274.4061992481459,273.4221655054591,266.7405945119799,277.39574283669947,264.7423409174941
280.7947881116074,281.2037311044731,303.27557304686957,278.6100720684463,265.5075768457538,266.3609415796119,284.55309385965114,265.82371592874557
280.43515840092005,270.2512265888631,308.34069241437436,285.49743280813766,273.94746094554085,269.4469185017059,288.291888432692,257.74997584422687
279.36487223452957,270.18398586598073,306.1192020053721,296.9826234316254,267.4337703230566,273.9335067226203,273.4996347391931,266.08115234286254
276.30806231212,270.9623879003527,304.06031713640374,293.18904192172073,265.13278699229517,256.79370646114404,277.44691285710434,261.8389196844107
282.868291844731,281.23313058699915,304.6833026867077,302.0257427934695,272.2344227219004,259.3031487914733,279.7588021046485,266.0709327124449
285.0672599269921,284.43627304367664,314.8897215687857,296.4199334923589,262.43246407002505,280.71609060784925,284.0337363608697,264.41152365606416
281.4797551602111,276.2736059767388,309.50361333188204,295.93715358993626,266.59487759946296,274.8537903582363,285.0525885847484,279.94320926358773
285.33374427984427,281.4018404320902,313.76409241940513,294.8857100889477,258.86174942132686,264.79587564499207,288.4036316563742,262.75658937901295
285.3565886989801,291.89592335512606,304.56739182747367,291.6240720439294,253.47633351613754,276.25511194962877,287.63440279273595,270.26896455610387
276.17841465195653,266.5932492876082,312.480159765781,290.5790530371261,270.0458327028448,275.2895099634876,288.067834605069,264.637696964692
303.67381181098307,278.66891509641187,301.3372684054459,280.60788789939994,259.5447557303538,275.2235170049801,282.88001525467433,257.72285984627865
285.86866157582625,278.2049137973567,312.07913382379843,282.28267149752946,264.6568924450919,264.5295207444685,280.5727205904728,259.103310462469
275.78005726903126,288.30508496975966,309.786839016378,301.2390257583236,262.5623112223247,265.41756084146,288.85816429622514,262.6398023261576
275.37893856129256,275.1323211386952,308.843273254191,281.6594083731387,256.7457782109116,263.840315043689,289.01294319350654,263.45631280080806
277.927467019673,292.3468526075643,291.8636585788567,301.29123428471945,252.4850018758317,283.94184069988574,271.29719125282384,256.39590008837075
265.31550191439834,270.71320068644934,304.0921546486802,283.15592933837667,249.50039642892665,266.34407329051123,285.10231350883595,258.29661446980265
278.06036800157057,270.92714204488664,310.4777567219028,298.62194602431316,249.76717353941496,275.54033941470755,282.6439471338026,252.96302582498268
274.514734071092,269.7301450960324,293.62159196744824,290.3428603167814,242.9760950235474,267.5019754391399,268.2093705188614,251.12049445972707
276.27289572809417,286.8668809827519,298.7697118310749,288.6987792738716,246.86448840660117,273.7782459850278,277.32100002845596,258.19289641980816
279.19046290557844,281.8759001896308,307.0307377046448,283.6094844737012,252.21200279489622,261.5966622820311,287.2735534567078,274.55305681687355
268.4641310977417,271.0813141683309,296.5902918142493,299.5774731001156,246.9161484135121,262.3777407349758,281.50154835442044,265.3488825527068
272.0531883715872,282.38438347832016,305.8765958337901,295.63795292741656,250.76607180014057,263.8171934178244,288.32553917317466,260.2920554383754
275.35461019013246,277.64027046297656,304.90437671814897,280.3113827016971,247.73198741281476,264.1630665018079,284.13264338818533,264.47067153468913
273.1419856410454,295.3325007526358,310.7282909809177,293.04666411815464,260.48908200395067,277.45791332637566,287.30310791222814,271.289945725439
274.71519530831904,285.0253304454046,315.625721285511,312.86061457448,256.2808393783926,293.1860871763563,285.7391025978057,277.1554639806292
284.1666119682905,275.9187605298849,316.2944054905083,304.65199047821545,263.52643394526007,288.1003984068489,288.5431134963684,276.4535937234645
277.8093552695051,285.8106295612253,305.3781096478797,304.08886215489457,258.7752012107149,280.39024044361094,282.7214562997193,278.84837241626695
286.44501288625105,290.0953726906448,311.75861607341113,308.499237656988,246.0184275501623,277.02256040717134,285.99884781773267,266.2658484185706
268.96244574746464,283.0166746853052,316.5389910294942,301.53304866112444,249.2809508950391,281.9239450475615,286.7196535211552,272.9706650330608
284.1623249163897,283.5918653562969,317.6628322028272,307.0867868565847,255.40891998806367,275.91212317807936,299.82030509413835,269.3296956815953
279.70138493373577,289.72852870496166,311.63534007407475,300.71688575931427,258.9023789836079,281.3338505798947,295.392256075869,274.70583274641535
287.0462545548371,292.03050489448117,317.85802240595973,289.6787276181801,258.2002394615973,282.6172625315016,287.11233336270084,278.26235376985636
282.3792208953173,277.981204488605,318.3834534653211,289.6333839531696,254.168392881574,287.04258698148635,286.0640466326266,268.89578900738445
274.77149988838937,281.27928030452875,310.79112693392653,291.474859677275,250.25176396811517,289.1893183591353,291.6226834476823,275.11117430258787
270.4233698833859,280.4187271139456,310.9070979993265,299.6324440974087,251.15983469515797,281.63970866732643,285.2522298605668,282.337182262458
270.23594135441004,290.81395516674644,307.6155445835624,290.27734630234994,244.82862863144038,296.2425873909624,278.9212408156378,281.6985456287339
